stdAguaGr,stdAlcoholGr,stdBebAzucGr,stdJugosNatGr,stdLacteosGr,stdRefrescoGr,stdFrutasGr,stdVerdGr,stdAvesGr,stdCarneRGr,stdPescGr,stdEmbutGr,stdHuevoGr,stdArrozPapaGr,stdTrigoyDerGr,stdMaizGr,stdDulcPastelGr,stdFriturGr,stdLeguminGr,stdOleagGr,stdGrasaSatGr
.81970376,8.6856356,.4016456,-.24261153,-.73525673,.8075164,.55728728,-.73019826,-.11656353,-.17791146,.9728269,7.1830931,.81405842,-.71929532,-.69686842,1.926132,-.50467914,-.16864687,-1.0769273,-.25445709,-.3005026
.68098551,-.19706641,.36420447,-.24261153,1.2978457,-.51060003,-.81282979,-.24254164,-.59549052,-.51456779,-.27325797,-.28310627,-.63851064,.71445304,1.1911861,-1.0783908,-.50467914,-.16864687,1.8970639,-.25445709,-.3005026
.68098551,-.19706641,.34442121,1.422388,1.5373005,-.30878314,.96279061,.0013107711,.038061451,-.51456779,-.27325797,-.28310627,.81405842,.50428522,.1274934,.54889137,-.50467914,-.16864687,-.15351406,-.25445709,-.3005026
2.3854632,-.19706641,2.4079735,-.24261153,.92927742,-.1069663,1.9676811,-.52032816,-.20140205,-.51456779,-.27325797,4.3832684,.56809002,2.3396559,.10090107,.098694146,2.8615711,-.16864687,-.49132454,-.25445709,-.3005026
-.23717481,-.19706641,-.93086517,-.24261153,-.22775309,-.30878314,.76103592,-.58271462,.19268644,-.14342169,.58941609,-.28310627,.81405842,.18039623,.76570898,-.95509255,-.40785217,-.16864687,-.75750762,-.25445709,-.3005026
-.059061769,1.111546,.68776757,-.24261153,-.73525673,.90211803,.1460052,-.6145395,1.2004857,.21962167,-.27325797,.94127047,-.15432094,1.0800878,2.1618056,.66734982,-.50467914,-.16864687,.52017128,-.25445709,.53352398
-1.0979152,-.19706641,-1.0289642,-.24261153,-.29202634,-.51060003,-.16443631,-.2659395,-.59549052,.59887058,-.27325797,-.28310627,-.63851064,-.71929532,-.82982999,-1.0778265,.13074784,-.16864687,-1.0769273,-.25445709,-.3005026
-.85206902,-.19706641,.41799545,-.24261153,.32509965,-.51060003,.83682442,-.57820076,-.35602704,-.51456779,-.27325797,-.28310627,-.39641577,1.8898101,-.59714723,-.40116388,-.20209487,-.16864687,-.14528653,-.25445709,-.3005026
-.96356392,-.19706641,.095810339,1.422388,-.24359053,-.51060003,-.11526463,-.74165064,-.59549052,-.28149801,1.2603848,1.5534588,.81405842,.47837406,-.82982999,-1.074607,-.3110252,-.16864687,-.49132454,-.25445709,-.3005026
-.29459465,-.19706641,-.7346673,-.24261153,.17362016,-.30878314,-.68303162,-.63643706,-.11656353,-.51456779,-.27325797,-.28310627,-.63851064,-.71929532,-.43094525,-.89102471,-.50467914,-.16864687,-.27837804,-.25445709,-.3005026
-.12233505,-.19706641,-.24498999,-.24261153,.19154054,-.51060003,.31362516,2.2416618,2.3601732,-.51456779,2.2828133,-.28310627,-.15432094,.18039623,1.2177783,-.86339819,-.47442073,-.16864687,-.58397001,-.25445709,-.3005026
-.44622767,-.19706641,-.030602943,-.24261153,-.39885703,-.27094248,-.41187909,.24415648,-.59549052,-.43040368,-.27325797,-.28310627,-.15819448,.11273942,-.37776062,.1556672,-.50467914,1.5165509,-.67841321,-.25445709,-.3005026
-1.1029325,3.3560143,-.98032337,-.24261153,.11302837,-.1069663,-.72020215,.43163314,-.0043577622,-.28149801,-.27325797,-.28310627,-.63851064,-.71929532,-.24479903,-.85549718,-.50467914,-.16864687,-.3316147,.8463915,-.3005026
.13605426,-.19706641,-.17493097,-.24261153,.11302837,-.51060003,-.20933501,-.059145402,-.35602704,.41329747,-.27325797,-.28310627,.087773889,1.260026,-.27139136,-1.0665394,-.50467914,-.16864687,.7863543,-.25445709,1.1292573
-.23717481,3.6098058,-.34227145,-.24261153,-.73525673,.094850548,-.43233973,-.48693547,-.35602704,-.28149801,-.27325797,-.28310627,-.39641577,-.21546806,-.43094525,1.695015,.076282673,-.16864687,.7863543,6.3506341,-.3005026
2.2562687,-.19706641,-.34227145,.13895088,-.12933879,-.51060003,.4923836,-.48323664,-.39844629,.068106622,-.27325797,-.28310627,-.39641577,-.60125577,.15408571,-.68798673,-.50467914,-.16864687,1.1309404,-.25445709,-.3005026
1.0712175,-.19706641,-1.0289642,-.24261153,-.62730247,-.51060003,-.81282979,-.59603041,-.59549052,.18464151,-.27325797,-.28310627,-.63851064,-.064319894,-.82982999,.38893425,-.50467914,-.16864687,2.649636,-.25445709,-.3005026
-.71270043,-.19706641,-.7346673,-.24261153,-.60714132,-.51060003,-.1713834,-.66974175,-.59549052,-.51456779,-.27325797,-.28310627,-.63851064,-.71929532,-.48792881,-.69140399,-.50467914,-.16864687,-.9970724,-.25445709,-.3005026
